,index,clean,topic_number,lda_score,topic_top_words
0,0,rt nowthisnews rep trey radel r fl slams obamacare politics httpstcozvywmgnumberyih,1,0.5499460697174072,great that time obamacare number today health student american find
1,1,video obamacare full of higher costs and broken promises httptcodnnumbervzqirwf,3,0.7749658823013306,number that today obamacare obama join right school president your
2,2,please join me today in remembering our fallen heroes and honoring the men and women currently in military service for their sacrifices,3,0.4090650677680969,number that today obamacare obama join right school president your
3,3,rt senatorleahy numberst step toward senate debate on leahycrapo vawa bill is the senateûªs procedural vote today at numberpm,2,0.849983811378479,bill today week congress number country plan that news border
4,4,amazon delivery drones show need to update law to promote innovation amp protect privacy my uas bill does that httptcolnumbertanumberskqnumberu,2,0.849970281124115,bill today week congress number country plan that news border
5,5,called on the usdotfra to release info about inspections before the casseltonderailment to review quality of rails number,7,0.5499525666236877,number that last health help your america today first would
6,6,bbcworld help us keep the kidnapped nigerian school girls story out front bringbackourgirls joinrepwilson httpt,3,0.7749223709106445,number that today obamacare obama join right school president your
7,7,show your arizona pridechoose your favorite s az picture for my facebook cover photo retweet to spread the word httpstconumberphhiganumbernd,0,0.6973390579223633,watch support your number town talk thank check that protect
8,8,what a wonderful night at state senator ken yagerûªs chili supper benefitting the boys amp girls clubs of roane county httptcodsyoafzvkr,5,0.6999701857566833,time week today that staff state meet community visit year
9,9,great oped by pres clinton about signing fmla yrs ago today an important law protecting workers httptcocsyevnumberonumber hoyerheadlines,1,0.7749530076980591,great that time obamacare number today health student american find
10,10,as potus golfs pushes amnesty amp ignores keystone american people are concerned about jobs econ amp health care costs httptcopnumberspdyoaca,6,0.8499894142150879,your care american today access best read health that give
11,11,the president doesnûªt get to just decide he doesnûªt like congress and do his own thing httptcojmclkjuzsg,8,0.871397078037262,today help president great good obama live health work research
12,12,fact the recovery act cut taxes for middleclass families kept teachers in the classroom amp police amp firefighters on the streets,2,0.47533872723579407,bill today week congress number country plan that news border
13,13,rt mha telemedicine consults at rural ers helps prevent prescription errors via genevrapittman for medcitynews httptcoveyonumberscmnumberg,2,0.5499488711357117,bill today week congress number country plan that news border
14,14,skitchp wouldnt wish that on anyone even you skitch,8,0.774919331073761,today help president great good obama live health work research
15,15,at numbernumberpm sen corybooker will give his maiden senate speech on need to renewuisuch an impt issue follow senbookerofc for livetweets,6,0.819953441619873,your care american today access best read health that give
16,16,if you have come because your liberation is bound up with mine then let us work together ûò lilla watson httpt,8,0.5839511156082153,today help president great good obama live health work research
17,17,for health coverage starting jan numberst you must sign up for accesshealthct by end of today httptcofsnumbermnrppmb getenrolled,0,0.49838247895240784,watch support your number town talk thank check that protect
18,18,the house will vote this week to defundobamacare and keep the government open,5,0.8199620246887207,time week today that staff state meet community visit year
19,19,tks to margaret number joining me in dc to share successes niskayuna ncap saw in education amp prevention of substance abuse httptcokvsnumberkakjyt,0,0.44331812858581543,watch support your number town talk thank check that protect
