,headline_text,clean,sensational_score
1.0,When did the decline of coal start? It started when natural gas took off that started to begin in (President George W.) Bushs administration.,decline coal start start natur gas took start begin presid george w bush administr,0.06191901536384603
2.0,"Hillary Clinton agrees with John McCain ""by voting to give George Bush the benefit of the doubt on Iran.""",hillary clinton agre john mccain vote give george bush benefit doubt iran,0.0598717330342442
3.0,Health care reform legislation is likely to mandate free sex change surgeries.,health care reform legis like mandat free sex chang surgery,0.05267219386459898
4.0,The economic turnaround started at the end of my term.,econom turnaround start end term,0.06694423756250212
5.0,The Chicago Bears have had more starting quarterbacks in the last 10 years than the total number of tenured (UW) faculty fired during the last two decades.,chicago bear start quarterback last year total number tenure uw faculty fire last two dead,0.048795994721218094
6.0,Jim Dunnam has not lived in the district he represents for years now.,jim dunam live district repres year,0.041163897786049786
7.0,"I'm the only person on this stage who has worked actively just last year passing, along with Russ Feingold, some of the toughest ethics reform since Watergate.",person stage work activ last year pass along rus feingold toughest ethic reform sinc water,0.05224464118484251
8.0,"However, it took $19.5 million in Oregon Lottery funds for the Port of Newport to eventually land the new NOAA Marine Operations Center-Pacific.",howe took million oregon lottery fund port newport event land new nova marin oper center pacify,0.021157225047404804
9.0,Says GOP primary opponents Glenn Grothman and Joe Leibham cast a compromise vote that cost $788 million in higher electricity costs.,say gop primary ippon glenn gaothan joe leibham cast compromis vote cost million higher elect cost,0.041297614856716236
10.0,"For the first time in history, the share of the national popular vote margin is smaller than the Latino vote margin.",first time histori share nation popular vote margin smaller latino vote margin,0.06878918344963392
11.0,"Since 2000, nearly 12 million Americans have slipped out of the middle class and into poverty.",sinc near million american slip middle class poverty,0.030453283818879906
12.0,"When Mitt Romney was governor of Massachusetts, we didnt just slow the rate of growth of our government, we actually cut it.",mitt romney governor massachusetts didn slow rate growth govern actual cut,0.05804042567051615
13.0,The economy bled $24 billion due to the government shutdown.,economi bled billion due govern shutdown,0.0
14.0,Most of the (Affordable Care Act) has already in some sense been waived or otherwise suspended.,afford care act already sens wait otherwise suspend,0.06635562886734536
15.0,"In this last election in November, ... 63 percent of the American people chose not to vote, ... 80 percent of young people, (and) 75 percent of low-income workers chose not to vote.",last elect novel percent american peopl chose vote percent young peopl percent low incom worker chose vote,0.05798604036340693
